"name","rank","year","url","id"
"BRADLEY C. HOSMER","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106697/lieutenant-general-bradley-c-hosmer.aspx","106697"
"GILMARY MICHAEL HOSTAGE III","GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104754/general-gilmary-michael-hostage-iii.aspx","104754"
"JOHN L. ""JACK"" HUDSON","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104670/lieutenant-general-john-l-jack-hudson.aspx","104670"
"RAYMOND  P. HUOT","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106683/lieutenant-general-raymond-p-huot.aspx","106683"
"JOSEPH  E. HURD","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106684/lieutenant-general-joseph-e-hurd.aspx","106684"
"JOHN E. HYTEN","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108115/general-john-e-hyten.aspx","108115"
"RONALD  W. IVERSON","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106670/lieutenant-general-ronald-w-iverson.aspx","106670"
"JAMES ""JJ"" JACKSON","LIEUTENANT GENERAL",2016,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108179/lieutenant-general-james-jj-jackson.aspx","108179"
"JOHN E. JACKSON JR.","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106659/lieutenant-general-john-e-jackson-jr.aspx","106659"
"JAMES  L. JAMERSON","GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104693/general-james-l-jamerson.aspx","104693"
"LARRY D. JAMES","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104799/lieutenant-general-larry-d-james.aspx","104799"
"DANIEL JAMES III","LIEUTENANT GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106644/lieutenant-general-daniel-james-iii.aspx","106644"
"ARLEN D. JAMESON","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106648/lieutenant-general-arlen-d-jameson.aspx","106648"
"JOHN E. JAQUISH","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106650/lieutenant-general-john-e-jaquish.aspx","106650"
"RALPH J. JODICE II","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105053/lieutenant-general-ralph-j-jodice-ii.aspx","105053"
"RAYMOND E. JOHNS JR.","GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106641/general-raymond-e-johns-jr.aspx","106641"
"HANSFORD T. JOHNSON","GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106581/general-hansford-t-johnson.aspx","106581"
"CHARLES L. JOHNSON II","LIEUTENANT GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105070/lieutenant-general-charles-l-johnson-ii.aspx","105070"
"MICHELLE D. JOHNSON","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107919/lieutenant-general-michelle-d-johnson.aspx","107919"
"NOEL T. ""TOM"" JONES","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107986/lieutenant-general-noel-t-tom-jones.aspx","107986"
"DARRELL D. JONES","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107939/lieutenant-general-darrell-d-jones.aspx","107939"
"JAN-MARC JOUAS","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104667/lieutenant-general-jan-marc-jouas.aspx","104667"
"JOHN P. JUMPER","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104697/general-john-p-jumper.aspx","104697"
"RONALD  T. KADISH","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106560/lieutenant-general-ronald-t-kadish.aspx","106560"
"THOMAS  J. KECK","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106610/lieutenant-general-thomas-j-keck.aspx","106610"
"C. ROBERT ""BOB"" KEHLER","GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104879/general-c-robert-bob-kehler.aspx","104879"
"NICHOLAS  B. KEHOE","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106553/lieutenant-general-nicholas-b-kehoe.aspx","106553"
"JAY  W. KELLEY","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106540/lieutenant-general-jay-w-kelley.aspx","106540"
"CHRISTOPHER A. KELLY","LIEUTENANT GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104856/lieutenant-general-christopher-a-kelly.aspx","104856"
"LESLIE  F. KENNE","LIEUTENANT GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106626/lieutenant-general-leslie-f-kenne.aspx","106626"
"RONALD E. KEYS","GENERAL",2007,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104866/general-ronald-e-keys.aspx","104866"
"TIMOTHY A. KINNAN","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106533/lieutenant-general-timothy-a-kinnan.aspx","106533"
"FRANK J. KISNER","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107911/lieutenant-general-frank-j-kisner.aspx","107911"
"FRANK G. KLOTZ","LIEUTENANT GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106503/lieutenant-general-frank-g-klotz.aspx","106503"
"JEFFREY B. KOHLER","LIEUTENANT GENERAL",2007,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104740/lieutenant-general-jeffrey-b-kohler.aspx","104740"
"VERNON J. KONDRA","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106494/lieutenant-general-vernon-j-kondra.aspx","106494"
"JAMES M. KOWALSKI","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107901/lieutenant-general-james-m-kowalski.aspx","107901"
"JOHN C. KOZIOL","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104804/lieutenant-general-john-c-koziol.aspx","104804"
"STANLEY T. KRESGE","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107910/lieutenant-general-stanley-t-kresge.aspx","107910"
"WALTER KROSS","GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106513/general-walter-kross.aspx","106513"
"DONALD J. KUTYNA","GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106524/general-donald-j-kutyna.aspx","106524"
"STEVEN L. KWAST","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108470/lieutenant-general-steven-l-kwast.aspx","108470"
"DONALD  A. LAMONTAGNE","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106451/lieutenant-general-donald-a-lamontagne.aspx","106451"
"DENNIS R. LARSEN","LIEUTENANT GENERAL",2007,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104964/lieutenant-general-dennis-r-larsen.aspx","104964"
"DANIEL P. LEAF","LIEUTENANT GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104990/lieutenant-general-daniel-p-leaf.aspx","104990"
"JEANNIE M. LEAVITT","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/742033/general-jeannie-m-leavitt.aspx","742033"
"JOSEPH L. LENGYEL","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108432/lieutenant-general-joseph-l-lengyel.aspx","108432"
"LEE K. LEVY II","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108506/lieutenant-general-lee-k-levy-ii.aspx","108506"
"NORMAND  G. LEZY","LIEUTENANT GENERAL",1999,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106430/lieutenant-general-normand-g-lezy.aspx","106430"
"ARTHUR J. LICHTE","GENERAL",2010,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104855/general-arthur-j-lichte.aspx","104855"
"BRUCE A. LITCHFIELD","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108330/lieutenant-general-bruce-a-litchfield.aspx","108330"
"JEFFREY G. LOFGREN","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108379/lieutenant-general-jeffrey-g-lofgren.aspx","108379"
"JOHN MICHAEL LOH","GENERAL",1995,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106378/general-john-michael-loh.aspx","106378"
"WILLIAM R. LOONEY III","GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104816/general-william-r-looney-iii.aspx","104816"
"JOHN  G. LORBER","GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106374/general-john-g-lorber.aspx","106374"
"WILLIAM T. LORD","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104669/lieutenant-general-william-t-lord.aspx","104669"
"LANCE W. LORD","GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105049/general-lance-w-lord.aspx","105049"
"STEPHEN R. LORENZ","GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104885/general-stephen-r-lorenz.aspx","104885"
"ROBERT  H. LUDWIG","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105028/lieutenant-general-robert-h-ludwig.aspx","105028"
"LESTER  L. LYLES","GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106412/general-lester-l-lyles.aspx","106412"
"ROY H. LYNN","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106414/lieutenant-general-roy-h-lynn.aspx","106414"
"RONALD  C. MARCOTTE","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106362/lieutenant-general-ronald-c-marcotte.aspx","106362"
"GREGORY  S. MARTIN","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104705/general-gregory-s-martin.aspx","104705"
"WENDY M. MASIELLO","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108139/lieutenant-general-wendy-m-masiello.aspx","108139"
"CHARLES A. MAY JR.","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106296/lieutenant-general-charles-a-may-jr.aspx","106296"
"JAMES P. MCCARTHY","GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106308/general-james-p-mccarthy.aspx","106308"
"CHARLES MCCAUSLAND","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106317/lieutenant-general-charles-mccausland.aspx","106317"
"DAVID  J. MCCLOUD","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106321/lieutenant-general-david-j-mccloud.aspx","106321"
"ROBERT P. MCCOY","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106271/lieutenant-general-robert-p-mccoy.aspx","106271"
"DARREN W. MCDEW","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107925/general-darren-w-mcdew.aspx","107925"
"CHARLES C. MCDONALD","GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106276/general-charles-c-mcdonald.aspx","106276"
"MAURICE L. ""LEE"" MCFANN JR.","LIEUTENANT GENERAL",2010,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104929/lieutenant-general-maurice-l-lee-mcfann-jr.aspx","104929"
"MICHAEL  D. MCGINTY","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106252/lieutenant-general-michael-d-mcginty.aspx","106252"
"DAVID  W. MCILVOY","LIEUTENANT GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106260/lieutenant-general-david-w-mcilvoy.aspx","106260"
"THOMAS G. MCINERNEY","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106262/lieutenant-general-thomas-g-mcinerney.aspx","106262"
"CRAIG R. MCKINLEY","GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104684/general-craig-r-mckinley.aspx","104684"
"JAMES K. ""KEVIN"" MCLAUGHLIN","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108399/lieutenant-general-james-k-kevin-mclaughlin.aspx","108399"
"DUNCAN J. MCNABB","GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104755/general-duncan-j-mcnabb.aspx","104755"
"MERRILL A. MCPEAK","GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106137/general-merrill-a-mcpeak.aspx","106137"
"GARY  H. MEARS","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106142/lieutenant-general-gary-h-mears.aspx","106142"
"(DR.) MONTE B. MILLER","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106222/lieutenant-general-dr-monte-b-miller.aspx","106222"
"CHRISTOPHER D. MILLER","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104644/lieutenant-general-christopher-d-miller.aspx","104644"
"KENNETH  A. MINIHAN","LIEUTENANT GENERAL",1999,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106229/lieutenant-general-kenneth-a-minihan.aspx","106229"
"MICHAEL R. MOELLER","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108000/lieutenant-general-michael-r-moeller.aspx","108000"
"C.D. MOORE II","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107967/lieutenant-general-cd-moore-ii.aspx","107967"
"GLEN W ""WALLY"" MOORHEAD III","LIEUTENANT GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104968/lieutenant-general-glen-w-wally-moorhead-iii.aspx","104968"
"THOMAS S. MOORMAN JR.","GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106158/general-thomas-s-moorman-jr.aspx","106158"
"T. MICHAEL MOSELEY","GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104651/general-t-michael-moseley.aspx","104651"
"STEPHEN P. MUELLER","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104973/lieutenant-general-stephen-p-mueller.aspx","104973"
"GEORGE  K. MUELLNER","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106117/lieutenant-general-george-k-muellner.aspx","106117"
"RICHARD  B. MYERS","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104623/general-richard-b-myers.aspx","104623"
"MICHAEL A. NELSON","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106067/lieutenant-general-michael-a-nelson.aspx","106067"
"RICHARD Y. NEWTON III","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104803/lieutenant-general-richard-y-newton-iii.aspx","104803"
"LLOYD  W.  ""FIG"" NEWTON","GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104917/general-lloyd-w-fig-newton.aspx","104917"
"GARY L. NORTH","GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104909/general-gary-l-north.aspx","104909"
"JOHN M. NOWAK","LIEUTENANT GENERAL",1995,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106089/lieutenant-general-john-m-nowak.aspx","106089"
"MARK C. NOWLAND","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108596/lieutenant-general-mark-c-nowland.aspx","108596"
"ROBERT C. OAKS","GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106098/general-robert-c-oaks.aspx","106098"
"HENRY A. ""TREY"" OBERING III","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106099/lieutenant-general-henry-a-trey-obering-iii.aspx","106099"
"CARL G. O'BERRY","LIEUTENANT GENERAL",1995,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106100/lieutenant-general-carl-g-oberry.aspx","106100"
"TAD  J. OELSTROM","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106018/lieutenant-general-tad-j-oelstrom.aspx","106018"
"TERRENCE J. O'SHAUGHNESSY","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108497/lieutenant-general-terrence-j-oshaughnessy.aspx","108497"
"ROBERT P. ""BOB"" OTTO","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108133/lieutenant-general-robert-p-bob-otto.aspx","108133"
"THOMAS J. OWEN","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105066/lieutenant-general-thomas-j-owen.aspx","105066"
"DOUGLAS H. OWENS","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107968/lieutenant-general-douglas-h-owens.aspx","107968"
"ELLEN M. PAWLIKOWSKI","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104867/general-ellen-m-pawlikowski.aspx","104867"
"ALLEN G. PECK","LIEUTENANT GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104629/lieutenant-general-allen-g-peck.aspx","104629"
"MICHAEL W. PETERSON","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104836/lieutenant-general-michael-w-peterson.aspx","104836"
"DONALD  L. PETERSON","LIEUTENANT GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105912/lieutenant-general-donald-l-peterson.aspx","105912"
"STEPHEN  B. PLUMMER","LIEUTENANT GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105916/lieutenant-general-stephen-b-plummer.aspx","105916"
"STEVEN R. POLK","LIEUTENANT GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104874/lieutenant-general-steven-r-polk.aspx","104874"
"EVERETT  H. PRATT JR.","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105904/lieutenant-general-everett-h-pratt-jr.aspx","105904"
"HARRY  D. RADUEGE JR.","LIEUTENANT GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104792/lieutenant-general-harry-d-raduege-jr.aspx","104792"
"ROBERT  F.  ""BOB"" RAGGIO","LIEUTENANT GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105863/lieutenant-general-robert-f-bob-raggio.aspx","105863"
"JOSEPH  W. RALSTON","GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105866/general-joseph-w-ralston.aspx","105866"
"MARK F. RAMSAY","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108006/lieutenant-general-mark-f-ramsay.aspx","108006"
"ROBIN RAND","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107922/general-robin-rand.aspx","107922"
"TIMOTHY M. RAY","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108496/lieutenant-general-timothy-m-ray.aspx","108496"
"JOHN W. ""JAY"" RAYMOND","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108479/lieutenant-general-john-w-jay-raymond.aspx","108479"
"JAMES F. RECORD","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105852/lieutenant-general-james-f-record.aspx","105852"
"JOSEPH  J. REDDEN","LIEUTENANT GENERAL",1999,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105854/lieutenant-general-joseph-j-redden.aspx","105854"
"CLIFFORD H. ""TED"" REES JR.","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105836/lieutenant-general-clifford-h-ted-rees-jr.aspx","105836"
"JOHN F. REGNI","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105020/lieutenant-general-john-f-regni.aspx","105020"
"JEFFREY A. REMINGTON","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105844/lieutenant-general-jeffrey-a-remington.aspx","105844"
"LOREN M. RENO","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104951/lieutenant-general-loren-m-reno.aspx","104951"
"VICTOR E. RENUART JR.","GENERAL",2010,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104722/general-victor-e-renuart-jr.aspx","104722"
"WILLIAM J. REW","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104886/lieutenant-general-william-j-rew.aspx","104886"
"RICHARD  V. REYNOLDS","LIEUTENANT GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104812/lieutenant-general-richard-v-reynolds.aspx","104812"
"EDWARD A. RICE JR.","GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104641/general-edward-a-rice-jr.aspx","104641"
"JACK L. RIVES","LIEUTENANT GENERAL",2010,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105827/lieutenant-general-jack-l-rives.aspx","105827"
"CHARLES  H. ROADMAN II","LIEUTENANT GENERAL",1999,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105829/lieutenant-general-charles-h-roadman-ii.aspx","105829"
"(DR.) DOUGLAS J. ROBB","LIEUTENANT GENERAL",2016,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108038/lieutenant-general-dr-douglas-j-robb.aspx","108038"
"DARRYL ROBERSON","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108370/lieutenant-general-darryl-roberson.aspx","108370"
"CHARLES  T.  ""TONY"" ROBERTSON JR.","GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105768/general-charles-t-tony-robertson-jr.aspx","105768"
"LORI J. ROBINSON","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108119/general-lori-j-robinson.aspx","108119"
"ANTHONY J. ROCK","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108226/lieutenant-general-anthony-j-rock.aspx","108226"
"CRAVEN C. ROGERS JR.","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105782/lieutenant-general-craven-c-rogers-jr.aspx","105782"
"MARC E. ROGERS","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104780/lieutenant-general-marc-e-rogers.aspx","104780"
"ERVIN  J. ROKKE","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105791/lieutenant-general-ervin-j-rokke.aspx","105791"
"JOHN W. ROSA JR.","LIEUTENANT GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105795/lieutenant-general-john-w-rosa-jr.aspx","105795"
"(DR.) JAMES G. ROUDEBUSH","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105761/lieutenant-general-dr-james-g-roudebush.aspx","105761"
"ROBERT D. RUSS","GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105743/general-robert-d-russ.aspx","105743"
"ROBERT  L. RUTHERFORD","GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105750/general-robert-l-rutherford.aspx","105750"
"MICHAEL  E. RYAN","GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105755/general-michael-e-ryan.aspx","105755"
"MARTIN  J. RYAN JR.","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105054/lieutenant-general-martin-j-ryan-jr.aspx","105054"
"RONALD F. SAMS","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107945/lieutenant-general-ronald-f-sams.aspx","107945"
"JOHN B. SAMS JR.","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105714/lieutenant-general-john-b-sams-jr.aspx","105714"
"EUGENE  D. SANTARELLI","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105724/lieutenant-general-eugene-d-santarelli.aspx","105724"
"MARK O. SCHISSLER","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107994/lieutenant-general-mark-o-schissler.aspx","107994"
"RANDALL MARK SCHMIDT","LIEUTENANT GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104950/lieutenant-general-randall-mark-schmidt.aspx","104950"
"NORTON A. SCHWARTZ","GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104626/general-norton-a-schwartz.aspx","104626"
"RICHARD M. SCOFIELD","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105690/lieutenant-general-richard-m-scofield.aspx","105690"
"CHARLES J. SEAROCK JR.","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105669/lieutenant-general-charles-j-searock-jr.aspx","105669"
"NORMAN R. SEIP","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104646/lieutenant-general-norman-r-seip.aspx","104646"
