"name","rank","year","url","id"
"RICHARD E. ""TEX"" BROWN III","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107596/lieutenant-general-richard-e-tex-brown-iii.aspx","107596"
"CHARLES Q. BROWN JR.","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108485/lieutenant-general-charles-q-brown-jr.aspx","108485"
"WALTER E. BUCHANAN III","LIEUTENANT GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107609/lieutenant-general-walter-e-buchanan-iii.aspx","107609"
"DAVID J. BUCK","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108707/lieutenant-general-david-j-buck.aspx","108707"
"ARNOLD W. BUNCH JR.","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108560/lieutenant-general-arnold-w-bunch-jr.aspx","108560"
"CHRISTOPHER F. BURNE","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108386/lieutenant-general-christopher-f-burne.aspx","108386"
"ANTHONY J. BURSHNICK","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107542/lieutenant-general-anthony-j-burshnick.aspx","107542"
"ANDREW E. BUSCH","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107956/lieutenant-general-andrew-e-busch.aspx","107956"
"GEORGE LEE BUTLER","GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107546/general-george-lee-butler.aspx","107546"
"JAMES T. CALLAGHAN","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107432/lieutenant-general-james-t-callaghan.aspx","107432"
"FRANK B. CAMPBELL","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107481/lieutenant-general-frank-b-campbell.aspx","107481"
"JOHN  H. CAMPBELL","LIEUTENANT GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107483/lieutenant-general-john-h-campbell.aspx","107483"
"HERBERT J. ""HAWK"" CARLISLE","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104764/general-herbert-j-hawk-carlisle.aspx","104764"
"BRUCE CARLSON","GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104718/general-bruce-carlson.aspx","104718"
"(DR.) PAUL K. CARLTON JR.","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107461/lieutenant-general-dr-paul-k-carlton-jr.aspx","107461"
"MICHAEL P.C. CARNS","GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107464/general-michael-pc-carns.aspx","107464"
"PATRICK  P. CARUANA","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107438/lieutenant-general-patrick-p-caruana.aspx","107438"
"THOMAS  R. CASE","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107442/lieutenant-general-thomas-r-case.aspx","107442"
"JAMES S. CASSITY JR.","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107513/lieutenant-general-james-s-cassity-jr.aspx","107513"
"JOHN T. CHAIN JR.","GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107519/general-john-t-chain-jr.aspx","107519"
"JAMES  E. CHAMBERS","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104922/lieutenant-general-james-e-chambers.aspx","104922"
"CARROL H. ""HOWIE"" CHANDLER","GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107445/general-carrol-h-howie-chandler.aspx","107445"
"KEVIN P. CHILTON","GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104791/general-kevin-p-chilton.aspx","104791"
"KURT A. CICHOWSKI","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104677/lieutenant-general-kurt-a-cichowski.aspx","104677"
"JAMES R. CLAPPER JR.","LIEUTENANT GENERAL",1995,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107384/lieutenant-general-james-r-clapper-jr.aspx","107384"
"STANLEY E. CLARKE III","LIEUTENANT GENERAL",2016,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108030/lieutenant-general-stanley-e-clarke-iii.aspx","108030"
"DONALD  G. COOK","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104813/general-donald-g-cook.aspx","104813"
"CHARLES  H. COOLIDGE JR.","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107376/lieutenant-general-charles-h-coolidge-jr.aspx","107376"
"JOHN B. COOPER","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108380/lieutenant-general-john-b-cooper.aspx","108380"
"JOHN D.W. CORLEY","GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104647/general-john-dw-corley.aspx","104647"
"SAMUEL D. COX","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108383/lieutenant-general-samuel-d-cox.aspx","108383"
"STEWART E. CRANSTON","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107362/lieutenant-general-stewart-e-cranston.aspx","107362"
"STEPHEN B. CROKER","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107320/lieutenant-general-stephen-b-croker.aspx","107320"
"DONALD  L. CROMER","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107321/lieutenant-general-donald-l-cromer.aspx","107321"
"CHARLES E. ""CHARLIE"" CROOM JR.","LIEUTENANT GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104759/lieutenant-general-charles-e-charlie-croom-jr.aspx","104759"
"JOHN R. DALLAGER","LIEUTENANT GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107277/lieutenant-general-john-r-dallager.aspx","107277"
"DANIEL J. DARNELL","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104680/lieutenant-general-daniel-j-darnell.aspx","104680"
"JAMES B. DAVIS","GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107301/general-james-b-davis.aspx","107301"
"RUSSELL C. DAVIS","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107304/lieutenant-general-russell-c-davis.aspx","107304"
"CHARLES R. DAVIS","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104635/lieutenant-general-charles-r-davis.aspx","104635"
"ROGER  G. DEKOK","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107256/lieutenant-general-roger-g-dekok.aspx","107256"
"DAVID A. DEPTULA","LIEUTENANT GENERAL",2010,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104634/lieutenant-general-david-a-deptula.aspx","104634"
"ROBERT  R. DIERKER","LIEUTENANT GENERAL",2004,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105084/lieutenant-general-robert-r-dierker.aspx","105084"
"JOHN L. DOLAN","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108782/lieutenant-general-john-l-dolan.aspx","108782"
"WILLIAM  J. DONAHUE","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107218/lieutenant-general-william-j-donahue.aspx","107218"
"MICHAEL D. DUBIE","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108822/lieutenant-general-michael-d-dubie.aspx","108822"
"MICHAEL J. DUGAN","GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107193/general-michael-j-dugan.aspx","107193"
"BRETT  M. DULA","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107189/lieutenant-general-brett-m-dula.aspx","107189"
"MICHAEL M. DUNN","LIEUTENANT GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105065/lieutenant-general-michael-m-dunn.aspx","105065"
"RALPH E.  ""ED"" EBERHART","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105056/general-ralph-e-ed-eberhart.aspx","105056"
"MARK A. EDIGER","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108319/lieutenant-general-mark-a-ediger.aspx","108319"
"ALBERT  J. EDMONDS","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107142/lieutenant-general-albert-j-edmonds.aspx","107142"
"KENNETH  E. EICKMANN","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107153/lieutenant-general-kenneth-e-eickmann.aspx","107153"
"ROBERT J. ""BOB"" ELDER JR.","LIEUTENANT GENERAL",2009,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104897/lieutenant-general-robert-j-bob-elder-jr.aspx","104897"
"MARVIN  R.  ""MARV"" ESMOND","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105024/lieutenant-general-marvin-r-marv-esmond.aspx","105024"
"HOWELL M. ESTES III","GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107122/general-howell-m-estes-iii.aspx","107122"
"WILLIAM H. ETTER","LIEUTENANT GENERAL",2016,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108634/lieutenant-general-william-h-etter.aspx","108634"
"CARLTON D. EVERHART II","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108400/general-carlton-d-everhart-ii.aspx","108400"
"DAVID S. FADOK","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108002/lieutenant-general-david-s-fadok.aspx","108002"
"JAMES A. FAIN JR.","LIEUTENANT GENERAL",1995,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107110/lieutenant-general-james-a-fain-jr.aspx","107110"
"JOHN  S. FAIRFIELD","LIEUTENANT GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107113/lieutenant-general-john-s-fairfield.aspx","107113"
"LAWRENCE  P. FARRELL JR.","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107101/lieutenant-general-lawrence-p-farrell-jr.aspx","107101"
"JUDITH A. FEDDER","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107947/lieutenant-general-judith-a-fedder.aspx","107947"
"THOMAS R. FERGUSON JR.","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107072/lieutenant-general-thomas-r-ferguson-jr.aspx","107072"
"ERIC E. FIEL","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107995/lieutenant-general-eric-e-fiel.aspx","107995"
"BURTON M. FIELD","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104907/lieutenant-general-burton-m-field.aspx","104907"
"VERN M. ""RUSTY"" FINDLEY II","LIEUTENANT GENERAL",2011,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104820/lieutenant-general-vern-m-rusty-findley-ii.aspx","104820"
"EUGENE H. FISCHER","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107061/lieutenant-general-eugene-h-fischer.aspx","107061"
"BRUCE L. FISTER","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107065/lieutenant-general-bruce-l-fister.aspx","107065"
"RONALD  R. FOGLEMAN","GENERAL",1997,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104988/general-ronald-r-fogleman.aspx","104988"
"ROBERT H. ""DOC"" FOGLESONG","GENERAL",2006,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104642/general-robert-h-doc-foglesong.aspx","104642"
"PHILLIP  J. FORD","LIEUTENANT GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107083/lieutenant-general-phillip-j-ford.aspx","107083"
"GORDON E. FORNELL","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107087/lieutenant-general-gordon-e-fornell.aspx","107087"
"CRAIG A. FRANKLIN","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108770/lieutenant-general-craig-a-franklin.aspx","108770"
"CARL  E. FRANKLIN","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107028/lieutenant-general-carl-e-franklin.aspx","107028"
"CHARLES E. FRANKLIN","LIEUTENANT GENERAL",1996,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107029/lieutenant-general-charles-e-franklin.aspx","107029"
"DOUGLAS M. FRASER","GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107031/general-douglas-m-fraser.aspx","107031"
"WILLIAM M. FRASER III","GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104865/general-william-m-fraser-iii.aspx","104865"
"TERRY L. GABRESKI","LIEUTENANT GENERAL",2010,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104787/lieutenant-general-terry-l-gabreski.aspx","104787"
"PATRICK  K. GAMBLE","GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107052/general-patrick-k-gamble.aspx","107052"
"BUSTER C. GLOSSON","LIEUTENANT GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106980/lieutenant-general-buster-c-glosson.aspx","106980"
"DAVID L. GOLDFEIN","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108013/general-david-l-goldfein.aspx","108013"
"HARRY A. GOODALL","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106953/lieutenant-general-harry-a-goodall.aspx","106953"
"JOHN  A. GORDON","GENERAL",2000,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106961/general-john-a-gordon.aspx","106961"
"FRANK GORENC","GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104632/general-frank-gorenc.aspx","104632"
"THOMAS  B. GOSLIN JR.","LIEUTENANT GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104903/lieutenant-general-thomas-b-goslin-jr.aspx","104903"
"MICHAEL C. GOULD","LIEUTENANT GENERAL",2013,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104690/lieutenant-general-michael-c-gould.aspx","104690"
"SAMUEL A. GREAVES","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108397/lieutenant-general-samuel-a-greaves.aspx","108397"
"(DR.) CHARLES B. GREEN","LIEUTENANT GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104772/lieutenant-general-dr-charles-b-green.aspx","104772"
"JOHN C. ""CLARK"" GRIFFITH","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106928/lieutenant-general-john-c-clark-griffith.aspx","106928"
"GINA M. GROSSO","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108666/lieutenant-general-gina-m-grosso.aspx","108666"
"EUGENE  E. HABIGER","GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106883/general-eugene-e-habiger.aspx","106883"
"JOHN  B. HALL JR.","LIEUTENANT GENERAL",1999,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106872/lieutenant-general-john-b-hall-jr.aspx","106872"
"WILLIAM  P. HALLIN","LIEUTENANT GENERAL",1998,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106881/lieutenant-general-william-p-hallin.aspx","106881"
"MICHAEL A. HAMEL","LIEUTENANT GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104884/lieutenant-general-michael-a-hamel.aspx","104884"
"CHARLES R. HAMM","LIEUTENANT GENERAL",1991,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106866/lieutenant-general-charles-r-hamm.aspx","106866"
"TREVOR A. HAMMOND","LIEUTENANT GENERAL",1993,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106867/lieutenant-general-trevor-a-hammond.aspx","106867"
"JOHN  W. HANDY","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104618/general-john-w-handy.aspx","104618"
"RUSSELL J. HANDY","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108369/lieutenant-general-russell-j-handy.aspx","108369"
"RICHARD C. HARDING","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107949/lieutenant-general-richard-c-harding.aspx","107949"
"RONNIE D. HAWKINS JR.","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104826/lieutenant-general-ronnie-d-hawkins-jr.aspx","104826"
"RICHARD  E. HAWLEY","GENERAL",1999,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106803/general-richard-e-hawley.aspx","106803"
"MICHAEL V. HAYDEN","GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104763/general-michael-v-hayden.aspx","104763"
"CHARLES  R. HEFLEBOWER","LIEUTENANT GENERAL",2002,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106807/lieutenant-general-charles-r-heflebower.aspx","106807"
"BRADLEY A. HEITHOLD","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107975/lieutenant-general-bradley-a-heithold.aspx","107975"
"SUSAN J. HELMS","LIEUTENANT GENERAL",2014,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107959/lieutenant-general-susan-j-helms.aspx","107959"
"PAUL V. HESTER","GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104930/general-paul-v-hester.aspx","104930"
"JOHN W. HESTERMAN III","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/107988/lieutenant-general-john-w-hesterman-iii.aspx","107988"
"THOMAS  J. HICKEY","LIEUTENANT GENERAL",1992,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104724/lieutenant-general-thomas-j-hickey.aspx","104724"
"ROBERT  C. HINSON","LIEUTENANT GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106776/lieutenant-general-robert-c-hinson.aspx","106776"
"WILLIAM T. HOBBINS","GENERAL",2008,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104870/general-william-t-hobbins.aspx","104870"
"DONALD J. HOFFMAN","GENERAL",2012,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104679/general-donald-j-hoffman.aspx","104679"
"WALTER  S. HOGLE JR.","LIEUTENANT GENERAL",2001,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106763/lieutenant-general-walter-s-hogle-jr.aspx","106763"
"CHARLES  R. HOLLAND","GENERAL",2003,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106758/general-charles-r-holland.aspx","106758"
"JAMES M. ""MIKE"" HOLMES","LIEUTENANT GENERAL",NA,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/108279/lieutenant-general-james-m-mike-holmes.aspx","108279"
"STEPHEN L. HOOG","LIEUTENANT GENERAL",2015,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105063/lieutenant-general-stephen-l-hoog.aspx","105063"
"JOHN  D. HOPPER JR.","LIEUTENANT GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/104904/lieutenant-general-john-d-hopper-jr.aspx","104904"
"HAL  M. HORNBURG","GENERAL",2005,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/105057/general-hal-m-hornburg.aspx","105057"
"CHARLES A. HORNER","GENERAL",1994,"http://www.af.mil/AboutUs/Biographies/Display/tabid/225/Article/106694/general-charles-a-horner.aspx","106694"
